,Analyst,Technology,Comments,Date,Comment.Sentiment,Tags,fy_quarter2,fy_quarter
79,Dennis Smith,Management (vRealize),customer question are around keep me safe while optimizing my spend  ,6/9/2020,Neutral,Messaging,2020.2,FY21 Q2
80,Dennis Smith,Management (vRealize),cloud governance market guide or mq in the future calls are not about provisioning and monitoring  questions are around how do i govern across clouds common security ,6/9/2020,Advice,Strategy,2020.2,FY21 Q2
81,Dennis Smith,Management (vRealize),challenge is which vendor will pull these together both are important areas common source of data around cloud resources common view common discovery dynamic discovery then overlay cost optimization or security over it  cloudhealth discovery can be used for other elements of this ,6/9/2020,Advice,Strategy,2020.2,FY21 Q2
82,Dennis Smith,Management (vRealize),fascinating space area early enough if get the right offer and messaging vmwareare can drive microsoft and others want to get into this area  no one is going to lean on aws or google to tell them where to spend less money with aws or google ,6/9/2020,Positive,Strategy,2020.2,FY21 Q2
83,Dennis Smith,Security ,security groups like organization   want one window that will give look across entire estate goal is one window across multiple cloud ,6/9/2020,Advice,Messaging,2020.2,FY21 Q2
84,Stephanie Balouras,Workspace ONE,forrester is estimating that approximately 2550 of workers will remain remote  ,6/11/2020,Neutral,BC/COVID-19,2020.2,FY21 Q2
85,Stephanie Balouras,Pivotal Labs/Services,contact tracing is controversial but needed for a safe work environment ,6/11/2020,Neutral,BC/COVID-19,2020.2,FY21 Q2
86,Chris Sherman,Workspace ONE,customers concerned about securing and managing devices device management hasnt changed too much but enterprises are revisiting policies on unmanaged devices ,6/11/2020,Advice,BC/COVID-19,2020.2,FY21 Q2
87,Chris Sherman,Workspace ONE,enterprises looking for solutions that provide insight into consumer devices malicious behavior so that can take action secure device locally kind of a bitlocker for consumer devices ,6/11/2020,Advice,BC/COVID-19,2020.2,FY21 Q2
88,Chris Sherman,Networking,lastline could be used for analysis and behavior analytics nta is very indepth cylance used them  changed parameters of what they look at depending on network home vs corporate ,6/11/2020,Advice,Strategy,2020.2,FY21 Q2
89,Stephanie Balouras,Security ,some clients had to relax security policies when sent them home need some modernization of security scalable reliable needs to happen ,6/11/2020,Neutral,BC/COVID-19,2020.2,FY21 Q2
90,Stephanie Balouras,Workspace ONE,lots of changes will be permanent core issues in infra   business leaders will force it to address covid will take 10 years stamp out hybrid workforce is permanent ,6/11/2020,Neutral,BC/COVID-19,2020.2,FY21 Q2
91,Chis Sherman,Security ,seeing more utilization of native security features across the board defender is used in 53 of orgs laying other things on top ,6/11/2020,Advice,Competitive mentions/intel,2020.2,FY21 Q2
92,Chris Sherman,Security ,using native security features to exploit things such as virt based security app isolation app control built into the os without paying for 3rd party agent is the trend they are seeing ,6/11/2020,Advice,Features or products (included/missing/recommended),2020.2,FY21 Q2
93,Chris Sherman ,Security ,covid increase in endpoint security spending overall spending has decreased just become more focused in some areas such as endpoint ,6/11/2020,Advice,BC/COVID-19,2020.2,FY21 Q2
94,Michael Warrilow,VMC on AWS,once vmwareare went from acquiring logos to focus on revenue partner perspective changed regarding vmc on aws engagement with vmc team became less cordial and more hungry to close deals ,6/15/2020,Negative,Partnerships,2020.2,FY21 Q2
95,Michael Warrilow,VMC on AWS,vmc on aws technology gaps are being closed quickly still dont see huge amount of customer review requests transition could have been managed better   make less nervous for customer  ,6/15/2020,Positive,Partnerships,2020.2,FY21 Q2
96,Michael Warrilow,VMC,surprised how slow singapore and se asia are in adopting cloud see more hunger in philippines tunisia japan has taken off china australiaitaly is a mixed bag,6/15/2020,Neutral,Strategy,2020.2,FY21 Q2
97,Michael Warrilow,VMC,lots of platform confusion new tanzu brand what use where why do i need this one vs other one where is heptio where is project pacific too many moving parts not sure what goes where ,6/15/2020,Negative,Messaging,2020.2,FY21 Q2
98,Michael Warrilow,VMC,the future is red hat vs vmwareare  open shift vs tanzu red hat currently has the lead dont see vmware upsetting red hats lead ,6/15/2020,Negative,Competitive mentions/intel,2020.2,FY21 Q2
99,Michael Warrilow,VMC,ibm  red hat is an interesting dynamic red hat doesnt benefit from working with vmwareare outside of the majority onprem install base ,6/15/2020,Neutral,Competitive mentions/intel,2020.2,FY21 Q2
100,Michael Warrilow,VMC on Google,dont know how google can survive without vmwareare they have no idea how to support different hardware models they would have to acquire to get close to what vmware is doing  suse or linux distribution vendor  ,6/15/2020,Neutral,Competitive mentions/intel,2020.2,FY21 Q2
101,Michael Warrilow,vSphere 7 with K8s,customers will get what they need from vsphere 7 by default whether they like it or not large opportunity to surround customers ,6/15/2020,Positive,Strategy,2020.2,FY21 Q2
102,Michael Warrilow,Lastline,why would customers be interested in a consumptionbased billing solution for 3rd party paas or saas benefit is not immediately clear  ,6/15/2020,Neutral,Strategy,2020.2,FY21 Q2
103,Michael Warrilow,VMC on AWS,there is growing annimosity around free and open source taken packaged and sold by amazon see an opportunity for vmwareare marketplace which brings together multicloud ecosystem to put customers back in control also appealing to vmw partners ,6/15/2020,Advice,Strategy,2020.2,FY21 Q2
104,Michael Warrilow,Tanzu App Service,why confuse customers with tanzu application services which is only applicable to a couple of thousand when can address marketplace to hundreds of thousands of customers you have a messaging challenge that favors bus vs the greater good of vmwareare ,6/15/2020,Negative,Strategy,2020.2,FY21 Q2
105,Michael Warrilow,Blockchain,tanzu is still hard to understand if i dont understand it customers probably dont either if michael can help clarify messaging in any way he is happy to help ,6/15/2020,Negative,Messaging,2020.2,FY21 Q2
106,Avivah Litan ,Blockchain,in general most people dont know why they need or what they are doing with blockchain yet  ,6/17/2020,Neutral,Messaging,2020.2,FY21 Q2
107,Avivah Litan ,Blockchain,use cases such as asset tracking claims paymentssettlements provenance are getting the most traction ,6/17/2020,Advice,Use cases,2020.2,FY21 Q2
108,Avivah Litan ,Blockchain,payments and financial services related applicaitons are faring better ,6/17/2020,Advice,Use cases,2020.2,FY21 Q2
109,Avivah Litan ,Blockchain,main driver in china is top down directive good reason why they have had success  ,6/17/2020,Advice,Strategy,2020.2,FY21 Q2
110,Avivah Litan ,Blockchain,seeing a lot of fomo and management telling you to do it,6/17/2020,Advice,Strategy,2020.2,FY21 Q2
111,Avivah Litan ,Blockchain,covid was good for blockchain especially supply chain use cases  people need financing faster can see their supplies on blockchain tracking happening in china now ,6/17/2020,Advice,BC/COVID-19,2020.2,FY21 Q2
112,Avivah Litan ,Blockchain,financial services with digital currency is evolving as a result of covid china is testing digital currency ,6/17/2020,Advice,Use cases,2020.2,FY21 Q2
113,Avivah Litan ,Blockchain,will evolve private transactions on blockchain baseline project sap also doing something here 2 using blockchain for consensus and trust,6/17/2020,Advice,Use cases,2020.2,FY21 Q2
114,Avivah Litan ,Blockchain,bright spots are payments digital currency trade financing based on supply chain tracking basically anything that helps liquidity ,6/17/2020,Advice,Use cases,2020.2,FY21 Q2
115,Stephen Elliott,All Products,vmwareare is a product driven company with great quality product as expand into aas need different engagement model with customers risk sharing must deliver on outcomes,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
116,Stephen Elliott,All Products,vmwareare has the opportunity to think about the customer journey sell pieces well need to sell solutions ,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
117,Stephen Elliott,All Products,business outcomes and innovation are important and can have an early impact on buying decisions ,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
118,Stephen Elliott,Security ,intrinsic security market is fragmented message should be that vmwareare can solve and simplify customer security needs ,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
119,Stephen Elliott,All Products,need to talk about partner role ,6/23/2020,Advice,Partnerships,2020.2,FY21 Q2
120,Stephen Elliott,All Products,people process technology business outcomes should be vmwareares message ,6/23/2020,Advice,Messaging,2020.2,FY21 Q2
